EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,extraversion,neuroticism,agreeableness,conscientiousness,openness,name
2.0,-4.0,4.0,-4.0,4.0,-2.0,2.0,-4.0,4.0,-4.0,-2.0,2.0,-4.0,2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-4.0,-1.0,4.0,-1.0,5.0,-1.0,5.0,-2.0,4.0,5.0,4.0,2.0,-2.0,5.0,-1.0,2.0,-2.0,4.0,-1.0,2.0,4.0,4.0,-3.0,4.0,-2.0,4.0,-2.0,4.0,2.0,4.0,4.0,18.0,24.0,36.0,27.0,27.0,C_54
5.0,-1.0,5.0,-2.0,4.0,-1.0,4.0,-3.0,4.0,-2.0,-2.0,4.0,-4.0,4.0,-3.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,5.0,-2.0,4.0,-1.0,4.0,-1.0,4.0,4.0,4.0,3.0,-2.0,3.0,-2.0,2.0,-2.0,4.0,-2.0,3.0,4.0,5.0,-1.0,4.0,-1.0,4.0,-2.0,5.0,5.0,4.0,4.0,33.0,30.0,34.0,25.0,35.0,C_55
2.0,-4.0,3.0,-5.0,2.0,-4.0,3.0,-3.0,4.0,-5.0,-4.0,3.0,-5.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-2.0,4.0,-3.0,4.0,-2.0,4.0,-3.0,3.0,4.0,2.0,3.0,-4.0,3.0,-4.0,1.0,-4.0,3.0,-3.0,2.0,4.0,5.0,-2.0,5.0,-2.0,4.0,-2.0,5.0,4.0,4.0,5.0,13.0,12.0,25.0,15.0,34.0,C_56
3.0,-2.0,5.0,-1.0,3.0,-2.0,5.0,-3.0,2.0,-4.0,-4.0,4.0,-2.0,1.0,-2.0,-1.0,-2.0,-2.0,-1.0,-3.0,-3.0,3.0,-1.0,3.0,-2.0,2.0,-2.0,3.0,2.0,3.0,4.0,-2.0,4.0,-1.0,3.0,-4.0,2.0,-3.0,3.0,4.0,3.0,-2.0,3.0,-3.0,3.0,-1.0,4.0,3.0,3.0,3.0,26.0,26.0,22.0,24.0,24.0,C_57
4.0,-5.0,4.0,-4.0,4.0,-1.0,2.0,-2.0,0.0,-3.0,-5.0,2.0,-4.0,4.0,-3.0,-2.0,-3.0,-1.0,-3.0,-2.0,-1.0,4.0,-2.0,5.0,-0.0,4.0,-1.0,4.0,3.0,5.0,4.0,-1.0,3.0,-3.0,4.0,-1.0,5.0,-1.0,4.0,4.0,5.0,-1.0,3.0,-1.0,5.0,-1.0,4.0,5.0,2.0,5.0,19.0,21.0,35.0,32.0,34.0,C_58
3.0,-3.0,4.0,-3.0,2.0,-2.0,3.0,-5.0,4.0,-5.0,-2.0,4.0,-5.0,2.0,-4.0,-2.0,-5.0,-1.0,-4.0,-3.0,-2.0,4.0,-3.0,4.0,-2.0,3.0,-2.0,4.0,2.0,3.0,4.0,-2.0,3.0,-3.0,3.0,-4.0,5.0,-2.0,4.0,4.0,3.0,-3.0,3.0,-3.0,4.0,-3.0,3.0,3.0,4.0,3.0,18.0,18.0,25.0,26.0,22.0,C_59
2.0,-1.0,3.0,-3.0,5.0,-2.0,4.0,-5.0,5.0,-3.0,-5.0,1.0,-5.0,1.0,-5.0,-5.0,-1.0,-5.0,-5.0,-5.0,-4.0,5.0,-4.0,4.0,-2.0,4.0,-1.0,4.0,4.0,5.0,1.0,-1.0,5.0,-5.0,1.0,-5.0,5.0,-5.0,1.0,1.0,2.0,-5.0,5.0,-5.0,1.0,-2.0,4.0,2.0,4.0,3.0,25.0,4.0,29.0,12.0,17.0,C_60
5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,-3.0,3.0,-3.0,-4.0,3.0,-3.0,1.0,-3.0,-4.0,-3.0,-2.0,-3.0,-1.0,-3.0,2.0,-3.0,1.0,-5.0,1.0,-4.0,3.0,2.0,2.0,3.0,-1.0,3.0,-3.0,1.0,-3.0,2.0,-1.0,1.0,1.0,4.0,-5.0,3.0,-5.0,3.0,-1.0,3.0,2.0,4.0,3.0,34.0,19.0,10.0,17.0,19.0,C_61
5.0,-1.0,3.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,-3.0,3.0,-3.0,5.0,-3.0,-3.0,-3.0,-3.0,-3.0,-1.0,-1.0,5.0,-3.0,3.0,-3.0,5.0,-3.0,3.0,3.0,5.0,3.0,-3.0,3.0,-1.0,3.0,-3.0,5.0,-3.0,3.0,5.0,5.0,-3.0,3.0,-3.0,5.0,-3.0,0.0,3.0,3.0,5.0,38.0,24.0,28.0,26.0,23.0,C_62
4.0,-1.0,4.0,-2.0,5.0,-1.0,4.0,-2.0,5.0,-2.0,-3.0,4.0,-4.0,2.0,-4.0,-4.0,-3.0,-2.0,-3.0,-2.0,-1.0,4.0,-3.0,5.0,-2.0,5.0,-2.0,4.0,5.0,4.0,4.0,-4.0,3.0,-3.0,4.0,-4.0,3.0,-2.0,4.0,2.0,3.0,-2.0,4.0,-2.0,3.0,-2.0,4.0,2.0,5.0,3.0,34.0,19.0,33.0,21.0,26.0,C_63
1.0,-4.0,3.0,-5.0,2.0,-5.0,3.0,-4.0,4.0,-3.0,-3.0,3.0,-4.0,2.0,-2.0,-3.0,-5.0,-4.0,-3.0,-5.0,-2.0,4.0,-1.0,4.0,-2.0,4.0,-2.0,5.0,4.0,4.0,2.0,-5.0,4.0,-4.0,1.0,-4.0,1.0,-3.0,1.0,4.0,4.0,-1.0,5.0,-3.0,3.0,-2.0,5.0,1.0,4.0,4.0,12.0,14.0,32.0,11.0,28.0,C_64
3.0,-3.0,2.0,-2.0,4.0,-2.0,3.0,-3.0,4.0,-3.0,-2.0,4.0,-3.0,2.0,-3.0,-2.0,-2.0,-3.0,-2.0,-1.0,-2.0,4.0,-1.0,5.0,-2.0,3.0,-2.0,4.0,4.0,5.0,3.0,-4.0,4.0,-2.0,2.0,-3.0,4.0,-3.0,3.0,3.0,3.0,-1.0,4.0,-1.0,3.0,-1.0,5.0,4.0,4.0,4.0,23.0,26.0,32.0,21.0,32.0,C_65
2.0,-3.0,2.0,-4.0,2.0,-2.0,2.0,-3.0,3.0,-4.0,-4.0,2.0,-2.0,1.0,-4.0,-4.0,-5.0,-5.0,-3.0,-5.0,-2.0,3.0,-3.0,4.0,-2.0,4.0,-2.0,4.0,4.0,2.0,2.0,-5.0,4.0,-5.0,1.0,-5.0,3.0,-4.0,2.0,5.0,4.0,-2.0,4.0,-4.0,4.0,-1.0,4.0,4.0,4.0,5.0,15.0,9.0,26.0,12.0,30.0,C_66
4.0,-3.0,4.0,-2.0,2.0,-4.0,4.0,-2.0,4.0,-4.0,-4.0,4.0,-2.0,2.0,-2.0,-2.0,-4.0,-4.0,-2.0,-3.0,-2.0,5.0,-2.0,4.0,-2.0,4.0,-1.0,4.0,4.0,4.0,1.0,-4.0,3.0,-4.0,2.0,-4.0,1.0,-2.0,1.0,2.0,5.0,-1.0,5.0,-1.0,4.0,-1.0,4.0,4.0,5.0,5.0,23.0,21.0,32.0,10.0,37.0,C_67
3.0,-5.0,3.0,-4.0,2.0,-5.0,2.0,-4.0,5.0,-5.0,-4.0,3.0,-3.0,4.0,-2.0,-5.0,-5.0,-5.0,-4.0,-4.0,-5.0,2.0,-2.0,4.0,-3.0,4.0,-3.0,4.0,4.0,3.0,4.0,-1.0,5.0,-2.0,3.0,-4.0,5.0,-3.0,4.0,4.0,4.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,3.0,5.0,5.0,12.0,13.0,22.0,29.0,36.0,C_68
1.0,-5.0,2.0,-4.0,2.0,-4.0,1.0,-2.0,4.0,-5.0,-4.0,2.0,-4.0,1.0,-3.0,-4.0,-3.0,-3.0,-4.0,-5.0,-1.0,1.0,-1.0,4.0,-4.0,4.0,-5.0,3.0,3.0,2.0,4.0,-3.0,3.0,-3.0,2.0,-3.0,5.0,-1.0,4.0,4.0,5.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,4.0,5.0,5.0,10.0,11.0,20.0,26.0,36.0,C_69
3.0,-4.0,5.0,-3.0,5.0,-2.0,4.0,-4.0,5.0,-3.0,-5.0,3.0,-5.0,3.0,-3.0,-1.0,-3.0,-3.0,-1.0,-5.0,-2.0,5.0,-3.0,5.0,-3.0,5.0,-1.0,5.0,5.0,5.0,5.0,-1.0,5.0,-3.0,3.0,-1.0,3.0,-3.0,2.0,4.0,4.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,1.0,5.0,5.0,26.0,18.0,35.0,28.0,34.0,C_70
3.0,-4.0,1.0,-4.0,3.0,-2.0,2.0,-4.0,3.0,-5.0,-5.0,3.0,-4.0,3.0,-5.0,-1.0,-3.0,-2.0,-5.0,-2.0,-4.0,2.0,-5.0,1.0,-5.0,2.0,-4.0,1.0,1.0,4.0,2.0,-5.0,4.0,-3.0,1.0,-4.0,5.0,-3.0,3.0,5.0,3.0,-4.0,2.0,-2.0,4.0,-4.0,5.0,3.0,4.0,2.0,13.0,17.0,7.0,19.0,21.0,C_71
1.0,-5.0,1.0,-5.0,1.0,-5.0,1.0,-5.0,1.0,-1.0,-3.0,1.0,-5.0,3.0,-1.0,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0,1.0,-5.0,1.0,-1.0,1.0,-5.0,1.0,5.0,1.0,1.0,-1.0,5.0,-1.0,3.0,-1.0,1.0,-3.0,3.0,1.0,1.0,-1.0,3.0,-1.0,3.0,-1.0,5.0,1.0,3.0,5.0,4.0,26.0,12.0,22.0,26.0,C_72
2.0,-3.0,3.0,-3.0,3.0,-3.0,4.0,-3.0,3.0,-4.0,-4.0,2.0,-5.0,2.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-2.0,4.0,-1.0,4.0,-2.0,4.0,-2.0,3.0,4.0,4.0,4.0,-3.0,4.0,-3.0,3.0,-4.0,4.0,-2.0,4.0,4.0,4.0,-2.0,5.0,-2.0,4.0,-2.0,4.0,5.0,4.0,4.0,19.0,8.0,30.0,25.0,32.0,C_73
2.0,-2.0,3.0,-3.0,5.0,-2.0,2.0,-5.0,2.0,-3.0,-4.0,2.0,-4.0,2.0,-2.0,-3.0,-4.0,-3.0,-4.0,-4.0,-1.0,4.0,-1.0,5.0,-2.0,4.0,-1.0,4.0,5.0,4.0,2.0,-4.0,5.0,-3.0,2.0,-4.0,3.0,-4.0,2.0,4.0,5.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,5.0,4.0,4.0,19.0,14.0,35.0,17.0,35.0,C_74
1.0,-4.0,2.0,-5.0,3.0,-1.0,1.0,-5.0,3.0,-5.0,-2.0,5.0,-5.0,5.0,-3.0,-5.0,-3.0,-1.0,-1.0,-1.0,-2.0,5.0,-1.0,5.0,-2.0,4.0,-1.0,4.0,4.0,3.0,4.0,-3.0,4.0,-1.0,2.0,-4.0,3.0,-2.0,2.0,4.0,4.0,-1.0,3.0,-1.0,4.0,-2.0,5.0,2.0,5.0,4.0,10.0,27.0,33.0,23.0,31.0,C_75
4.0,-2.0,5.0,-2.0,5.0,-1.0,4.0,-2.0,4.0,-2.0,-1.0,5.0,-2.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-5.0,-1.0,5.0,-1.0,5.0,-1.0,2.0,-1.0,5.0,5.0,5.0,5.0,-2.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,5.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,3.0,5.0,4.0,33.0,34.0,37.0,39.0,33.0,C_76
1.0,-5.0,3.0,-4.0,3.0,-5.0,2.0,-4.0,2.0,-3.0,-4.0,3.0,-4.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-1.0,4.0,-2.0,5.0,-2.0,4.0,-2.0,3.0,4.0,1.0,1.0,-3.0,4.0,-4.0,4.0,-4.0,4.0,-3.0,2.0,3.0,4.0,-3.0,4.0,-3.0,3.0,-2.0,4.0,2.0,4.0,2.0,10.0,14.0,28.0,18.0,23.0,C_77
2.0,-2.0,2.0,-4.0,3.0,-2.0,1.0,-4.0,4.0,-5.0,-1.0,3.0,-3.0,5.0,-2.0,-1.0,-4.0,-3.0,-4.0,-1.0,-5.0,2.0,-4.0,1.0,-3.0,1.0,-4.0,2.0,1.0,2.0,1.0,-5.0,4.0,-1.0,1.0,-4.0,2.0,-4.0,1.0,4.0,5.0,-1.0,3.0,-1.0,4.0,-1.0,4.0,5.0,5.0,4.0,15.0,27.0,7.0,13.0,35.0,C_78
3.0,-2.0,5.0,-3.0,4.0,-2.0,4.0,-3.0,3.0,-3.0,-2.0,3.0,-4.0,2.0,-3.0,-3.0,-5.0,-5.0,-2.0,-3.0,-1.0,4.0,-1.0,5.0,-2.0,5.0,-1.0,3.0,4.0,4.0,3.0,-1.0,3.0,-2.0,4.0,-2.0,3.0,-3.0,2.0,4.0,3.0,-4.0,5.0,-3.0,3.0,-1.0,5.0,2.0,4.0,3.0,26.0,16.0,34.0,25.0,25.0,C_79
4.0,-1.0,5.0,-2.0,5.0,-1.0,4.0,-2.0,4.0,-2.0,-2.0,4.0,-3.0,3.0,-2.0,-3.0,-3.0,-1.0,-3.0,-2.0,-1.0,0.0,-2.0,5.0,-2.0,3.0,-1.0,5.0,5.0,4.0,4.0,-2.0,5.0,-2.0,3.0,-2.0,5.0,-2.0,3.0,4.0,5.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,5.0,4.0,4.0,34.0,26.0,30.0,30.0,37.0,C_80
3.0,-1.0,5.0,-2.0,5.0,-1.0,4.0,-3.0,4.0,-1.0,-4.0,3.0,-4.0,1.0,-4.0,-4.0,-3.0,-3.0,-5.0,-4.0,-2.0,4.0,-5.0,2.0,-3.0,4.0,-2.0,4.0,3.0,4.0,3.0,-4.0,4.0,-2.0,4.0,-3.0,4.0,-1.0,2.0,3.0,4.0,-5.0,2.0,-5.0,3.0,-3.0,4.0,4.0,2.0,3.0,33.0,11.0,23.0,24.0,17.0,C_81
4.0,-2.0,3.0,-3.0,4.0,-2.0,4.0,-2.0,4.0,-4.0,-3.0,4.0,-5.0,3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.0,-5.0,4.0,-3.0,4.0,-2.0,4.0,-2.0,4.0,4.0,3.0,4.0,-5.0,4.0,-4.0,2.0,-5.0,1.0,-3.0,2.0,3.0,4.0,-3.0,4.0,-2.0,3.0,-4.0,3.0,4.0,4.0,4.0,26.0,15.0,25.0,13.0,25.0,C_82
1.0,-5.0,1.0,-5.0,1.0,-5.0,1.0,-5.0,1.0,-5.0,-3.0,1.0,-5.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,1.0,-5.0,1.0,-1.0,1.0,-5.0,1.0,5.0,1.0,1.0,-5.0,5.0,-1.0,3.0,-1.0,1.0,-3.0,3.0,1.0,1.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,1.0,5.0,5.0,0.0,24.0,12.0,18.0,32.0,C_83
4.0,-3.0,3.0,-3.0,4.0,-1.0,3.0,-3.0,4.0,-5.0,-5.0,2.0,-5.0,4.0,-5.0,-4.0,-5.0,-4.0,-5.0,-5.0,-4.0,4.0,-3.0,4.0,-2.0,5.0,-2.0,4.0,4.0,3.0,2.0,-4.0,4.0,-4.0,1.0,-4.0,4.0,-3.0,2.0,2.0,4.0,-4.0,4.0,-2.0,3.0,-2.0,2.0,3.0,5.0,5.0,23.0,6.0,27.0,14.0,26.0,C_84
4.0,-1.0,5.0,-2.0,4.0,-1.0,4.0,-4.0,2.0,-3.0,-2.0,4.0,-3.0,4.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-4.0,5.0,-1.0,4.0,-1.0,3.0,-1.0,4.0,4.0,4.0,4.0,-1.0,4.0,-1.0,4.0,-1.0,5.0,-2.0,3.0,3.0,3.0,-3.0,4.0,-3.0,3.0,-2.0,3.0,3.0,3.0,4.0,28.0,30.0,31.0,32.0,23.0,C_85
2.0,-4.0,2.0,-5.0,1.0,-2.0,2.0,-4.0,2.0,-5.0,-2.0,2.0,-5.0,2.0,-4.0,-1.0,-4.0,-3.0,-3.0,-4.0,-1.0,4.0,-4.0,4.0,-2.0,2.0,-2.0,3.0,4.0,3.0,4.0,-2.0,5.0,-3.0,2.0,-4.0,3.0,-3.0,3.0,4.0,5.0,-2.0,5.0,-2.0,4.0,-2.0,4.0,4.0,4.0,4.0,9.0,16.0,25.0,23.0,32.0,C_86
4.0,-1.0,5.0,-1.0,5.0,-1.0,4.0,-2.0,4.0,-2.0,-4.0,3.0,-4.0,4.0,-3.0,-1.0,-3.0,-4.0,-5.0,-2.0,-3.0,3.0,-3.0,3.0,-2.0,3.0,-2.0,3.0,3.0,3.0,3.0,-1.0,2.0,-3.0,2.0,-4.0,2.0,-3.0,3.0,2.0,3.0,-4.0,5.0,-2.0,2.0,-4.0,2.0,3.0,3.0,5.0,35.0,19.0,22.0,17.0,21.0,C_87
3.0,-2.0,3.0,-2.0,4.0,-2.0,3.0,-4.0,2.0,-1.0,-4.0,3.0,-4.0,3.0,-3.0,-3.0,-2.0,-2.0,-4.0,-1.0,-5.0,4.0,-3.0,4.0,-2.0,3.0,-2.0,4.0,4.0,4.0,4.0,-1.0,4.0,-2.0,3.0,-2.0,4.0,-3.0,3.0,4.0,3.0,-4.0,3.0,-2.0,3.0,-2.0,5.0,3.0,2.0,3.0,24.0,21.0,25.0,28.0,22.0,C_88
4.0,-1.0,4.0,-4.0,5.0,-1.0,5.0,-1.0,5.0,-2.0,-2.0,3.0,-3.0,4.0,-1.0,-1.0,-3.0,-1.0,-2.0,-1.0,-1.0,5.0,-1.0,5.0,-1.0,4.0,-2.0,4.0,4.0,5.0,5.0,-4.0,5.0,-1.0,4.0,-2.0,4.0,-1.0,5.0,5.0,5.0,-1.0,5.0,-1.0,5.0,-5.0,4.0,5.0,5.0,5.0,34.0,31.0,36.0,34.0,35.0,C_89
3.0,-3.0,5.0,-3.0,5.0,-2.0,3.0,-3.0,4.0,-3.0,-2.0,3.0,-3.0,3.0,-3.0,-3.0,-3.0,-1.0,-3.0,-3.0,-5.0,5.0,-3.0,4.0,-3.0,4.0,-2.0,5.0,4.0,4.0,4.0,-5.0,2.0,-3.0,2.0,-1.0,5.0,-3.0,4.0,3.0,3.0,-5.0,3.0,-4.0,3.0,-4.0,3.0,1.0,3.0,3.0,26.0,23.0,27.0,22.0,14.0,C_90
4.0,-1.0,2.0,-2.0,4.0,-1.0,3.0,-2.0,4.0,-5.0,-4.0,2.0,-4.0,1.0,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,-2.0,5.0,-5.0,4.0,-2.0,5.0,-2.0,3.0,5.0,4.0,4.0,-2.0,4.0,-2.0,1.0,-1.0,5.0,-2.0,5.0,4.0,4.0,-3.0,5.0,-4.0,4.0,-1.0,5.0,4.0,5.0,4.0,26.0,5.0,29.0,30.0,31.0,C_91
2.0,-4.0,4.0,-5.0,3.0,-4.0,1.0,-5.0,2.0,-5.0,-4.0,4.0,-4.0,2.0,-4.0,-4.0,-2.0,-2.0,-2.0,-4.0,-4.0,2.0,-1.0,4.0,-2.0,3.0,-4.0,2.0,2.0,3.0,4.0,-2.0,5.0,-2.0,4.0,-1.0,4.0,-2.0,4.0,5.0,5.0,-1.0,2.0,-1.0,4.0,-4.0,4.0,4.0,4.0,3.0,9.0,18.0,19.0,33.0,28.0,C_92
2.0,-2.0,4.0,-3.0,5.0,-3.0,4.0,-3.0,4.0,-3.0,-3.0,3.0,-4.0,4.0,-3.0,-4.0,-0.0,-3.0,-5.0,-3.0,-3.0,4.0,-3.0,5.0,-2.0,4.0,-3.0,3.0,4.0,3.0,2.0,-4.0,4.0,-4.0,3.0,-4.0,3.0,-4.0,3.0,3.0,3.0,-3.0,4.0,-3.0,4.0,-3.0,4.0,3.0,4.0,3.0,25.0,20.0,26.0,16.0,24.0,C_93
1.0,-4.0,3.0,-4.0,3.0,-3.0,2.0,-4.0,2.0,-4.0,-3.0,3.0,-4.0,2.0,-3.0,-4.0,-4.0,-4.0,-2.0,-4.0,-4.0,4.0,-1.0,3.0,-2.0,3.0,-3.0,3.0,2.0,3.0,4.0,-4.0,3.0,-3.0,4.0,-4.0,4.0,-1.0,4.0,3.0,3.0,-2.0,4.0,-2.0,3.0,-2.0,4.0,1.0,4.0,2.0,12.0,15.0,22.0,24.0,23.0,C_94
3.0,-2.0,3.0,-2.0,4.0,-2.0,4.0,-3.0,4.0,-3.0,-4.0,2.0,-5.0,2.0,-3.0,-4.0,-4.0,-3.0,-5.0,-2.0,-1.0,4.0,-4.0,4.0,-2.0,4.0,-1.0,4.0,4.0,4.0,4.0,-2.0,5.0,-2.0,4.0,-1.0,5.0,-1.0,5.0,4.0,5.0,-2.0,4.0,-1.0,3.0,-2.0,5.0,4.0,5.0,5.0,26.0,12.0,30.0,35.0,34.0,C_95
1.0,-1.0,5.0,-1.0,5.0,-1.0,1.0,-1.0,1.0,-2.0,-4.0,4.0,-4.0,3.0,-1.0,-1.0,-4.0,-4.0,-1.0,-3.0,-1.0,5.0,-4.0,5.0,-1.0,4.0,-1.0,4.0,5.0,5.0,1.0,-4.0,4.0,-5.0,1.0,-5.0,1.0,-3.0,3.0,3.0,3.0,-2.0,5.0,-1.0,5.0,-1.0,5.0,4.0,4.0,3.0,27.0,23.0,35.0,10.0,33.0,C_96
4.0,-3.0,5.0,-2.0,5.0,-1.0,4.0,-3.0,4.0,-3.0,-5.0,3.0,-5.0,2.0,-4.0,-4.0,-2.0,-2.0,-4.0,-5.0,-2.0,3.0,-3.0,4.0,-4.0,3.0,-4.0,2.0,3.0,3.0,2.0,-1.0,5.0,-4.0,4.0,-2.0,5.0,-5.0,1.0,4.0,4.0,-2.0,5.0,-1.0,5.0,-1.0,5.0,5.0,5.0,5.0,30.0,12.0,19.0,23.0,38.0,C_97
3.0,-4.0,2.0,-2.0,3.0,-2.0,2.0,-3.0,1.0,-3.0,-4.0,3.0,-5.0,1.0,-4.0,-4.0,-3.0,-3.0,-4.0,-4.0,-1.0,4.0,-3.0,4.0,-2.0,4.0,-2.0,3.0,3.0,3.0,4.0,-1.0,4.0,-1.0,5.0,-1.0,5.0,-2.0,5.0,4.0,5.0,-1.0,5.0,-1.0,3.0,-1.0,5.0,5.0,5.0,4.0,17.0,11.0,27.0,36.0,37.0,C_98
2.0,-4.0,2.0,-4.0,3.0,-4.0,3.0,-5.0,2.0,-5.0,-4.0,2.0,-5.0,1.0,-5.0,-4.0,-4.0,-4.0,-3.0,-4.0,-1.0,5.0,-2.0,5.0,-2.0,4.0,-2.0,4.0,4.0,4.0,3.0,-2.0,4.0,-4.0,2.0,-2.0,3.0,-3.0,3.0,4.0,5.0,-1.0,5.0,-1.0,3.0,-1.0,5.0,4.0,4.0,5.0,10.0,8.0,33.0,22.0,36.0,C_99
