person,text,text_empty,table,description_text
C_25,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.550 | In particular they said that they start conversations. |
| neuroticism | -0.555 |   |
| agreeableness | 0.001 |   |
| conscientiousness | -0.356 |   |
| openness | 1.917 | In particular they said that they have a rich vocabulary. |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.550 | In particular they said that they start conversations. |
| neuroticism | -0.555 |   |
| agreeableness | 0.001 |   |
| conscientiousness | -0.356 |   |
| openness | 1.917 | In particular they said that they have a rich vocabulary. |```"
C_26,```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they do not have a good imagination. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.503 |   |
| neuroticism | -0.690 |   |
| agreeableness | 0.535 |   |
| conscientiousness | -0.055 |   |
| openness | -1.091 | In particular they said that they do not have a good imagination. |```","```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they do not have a good imagination. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.503 |   |
| neuroticism | -0.690 |   |
| agreeableness | 0.535 |   |
| conscientiousness | -0.055 |   |
| openness | -1.091 | In particular they said that they do not have a good imagination. |```"
C_27,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.858 |   |
| neuroticism | 0.521 |   |
| agreeableness | 1.337 | In particular they said that they interested in people. |
| conscientiousness | 0.699 |   |
| openness | 0.079 |   |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.858 |   |
| neuroticism | 0.521 |   |
| agreeableness | 1.337 | In particular they said that they interested in people. |
| conscientiousness | 0.699 |   |
| openness | 0.079 |   |```"
C_28,```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is extremely resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.398 |   |
| neuroticism | -2.304 | In particular they said that they get stressed out easily. |
| agreeableness | -1.334 | In particular they said that they feel little concern for others. |
| conscientiousness | -0.055 |   |
| openness | -1.426 | In particular they said that they have difficulty understanding abstract ideas. |```","```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is extremely resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.398 |   |
| neuroticism | -2.304 | In particular they said that they get stressed out easily. |
| agreeableness | -1.334 | In particular they said that they feel little concern for others. |
| conscientiousness | -0.055 |   |
| openness | -1.426 | In particular they said that they have difficulty understanding abstract ideas. |```"
C_29,```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they dont like to draw attention to themself. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.800 | In particular they said that they dont like to draw attention to themself. |
| neuroticism | 0.117 |   |
| agreeableness | -1.334 | In particular they said that they feel little concern for others. |
| conscientiousness | 0.398 |   |
| openness | 0.079 |   |```","```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they dont like to draw attention to themself. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.800 | In particular they said that they dont like to draw attention to themself. |
| neuroticism | 0.117 |   |
| agreeableness | -1.334 | In particular they said that they feel little concern for others. |
| conscientiousness | 0.398 |   |
| openness | 0.079 |   |```"
C_30,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is extremely extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.864 | In particular they said that they feel comfortable around people. |
| neuroticism | 0.790 |   |
| agreeableness | 0.535 |   |
| conscientiousness | -2.467 | In particular they said that they leave their belongings around. |
| openness | 0.914 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is extremely extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.864 | In particular they said that they feel comfortable around people. |
| neuroticism | 0.790 |   |
| agreeableness | 0.535 |   |
| conscientiousness | -2.467 | In particular they said that they leave their belongings around. |
| openness | 0.914 |   |```"
C_31,```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.294 |   |
| neuroticism | -0.690 |   |
| agreeableness | 0.135 |   |
| conscientiousness | -1.412 | In particular they said that they leave their belongings around. |
| openness | -0.590 |   |```","```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.294 |   |
| neuroticism | -0.690 |   |
| agreeableness | 0.135 |   |
| conscientiousness | -1.412 | In particular they said that they leave their belongings around. |
| openness | -0.590 |   |```"
C_32,```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.608 |   |
| neuroticism | -0.017 |   |
| agreeableness | 0.135 |   |
| conscientiousness | 0.548 |   |
| openness | 0.246 |   |```","```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.608 |   |
| neuroticism | -0.017 |   |
| agreeableness | 0.135 |   |
| conscientiousness | 0.548 |   |
| openness | 0.246 |   |```"
C_33,```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they keep in the background. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.068 | In particular they said that they keep in the background. |
| neuroticism | -0.959 |   |
| agreeableness | 0.001 |   |
| conscientiousness | -1.261 | In particular they said that they leave their belongings around. |
| openness | 0.747 |   |```","```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they keep in the background. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.068 | In particular they said that they keep in the background. |
| neuroticism | -0.959 |   |
| agreeableness | 0.001 |   |
| conscientiousness | -1.261 | In particular they said that they leave their belongings around. |
| openness | 0.747 |   |```"
C_34,```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they dont talk a lot. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they pay attention to details. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.277 | In particular they said that they dont talk a lot. |
| neuroticism | 0.386 |   |
| agreeableness | -0.266 |   |
| conscientiousness | 1.152 | In particular they said that they pay attention to details. |
| openness | 0.079 |   |```","```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they dont talk a lot. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they pay attention to details. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.277 | In particular they said that they dont talk a lot. |
| neuroticism | 0.386 |   |
| agreeableness | -0.266 |   |
| conscientiousness | 1.152 | In particular they said that they pay attention to details. |
| openness | 0.079 |   |```"
C_35,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they talk to a lot of different people at parties. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they worry about things. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they talk to a lot of different people at parties. |
| neuroticism | -1.093 | In particular they said that they worry about things. |
| agreeableness | 1.470 | In particular they said that they interested in people. |
| conscientiousness | 0.247 |   |
| openness | 0.246 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they talk to a lot of different people at parties. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they worry about things. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they talk to a lot of different people at parties. |
| neuroticism | -1.093 | In particular they said that they worry about things. |
| agreeableness | 1.470 | In particular they said that they interested in people. |
| conscientiousness | 0.247 |   |
| openness | 0.246 |   |```"
C_36,```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.922 |   |
| neuroticism | -1.093 | In particular they said that they get stressed out easily. |
| agreeableness | 1.604 | In particular they said that they interested in people. |
| conscientiousness | -1.261 | In particular they said that they leave their belongings around. |
| openness | 0.413 |   |```","```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.922 |   |
| neuroticism | -1.093 | In particular they said that they get stressed out easily. |
| agreeableness | 1.604 | In particular they said that they interested in people. |
| conscientiousness | -1.261 | In particular they said that they leave their belongings around. |
| openness | 0.413 |   |```"
C_37,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they talk to a lot of different people at parties. The candidate is extremely sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is extremely critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.341 | In particular they said that they talk to a lot of different people at parties. |
| neuroticism | 2.270 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -2.002 | In particular they said that they feel little concern for others. |
| conscientiousness | 0.398 |   |
| openness | 0.413 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they talk to a lot of different people at parties. The candidate is extremely sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is extremely critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.341 | In particular they said that they talk to a lot of different people at parties. |
| neuroticism | 2.270 | In particular they said that they are relaxed most of the time.  |
| agreeableness | -2.002 | In particular they said that they feel little concern for others. |
| conscientiousness | 0.398 |   |
| openness | 0.413 |   |```"
C_38,```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is extremely consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.294 |   |
| neuroticism | 0.656 |   |
| agreeableness | 0.669 |   |
| conscientiousness | 0.699 |   |
| openness | -2.261 | In particular they said that they have difficulty understanding abstract ideas. |```","```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is extremely consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.294 |   |
| neuroticism | 0.656 |   |
| agreeableness | 0.669 |   |
| conscientiousness | 0.699 |   |
| openness | -2.261 | In particular they said that they have difficulty understanding abstract ideas. |```"
C_39,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is extremely efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.753 |   |
| neuroticism | 0.252 |   |
| agreeableness | -1.067 | In particular they said that they feel little concern for others. |
| conscientiousness | 2.509 | In particular they said that they are always prepared. |
| openness | 0.747 |   |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they feel little concern for others. The candidate is extremely efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.753 |   |
| neuroticism | 0.252 |   |
| agreeableness | -1.067 | In particular they said that they feel little concern for others. |
| conscientiousness | 2.509 | In particular they said that they are always prepared. |
| openness | 0.747 |   |```"
C_40,```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they keep in the background. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.172 | In particular they said that they keep in the background. |
| neuroticism | -0.017 |   |
| agreeableness | 0.402 |   |
| conscientiousness | -0.205 |   |
| openness | 0.413 |   |```","```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they keep in the background. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.172 | In particular they said that they keep in the background. |
| neuroticism | -0.017 |   |
| agreeableness | 0.402 |   |
| conscientiousness | -0.205 |   |
| openness | 0.413 |   |```"
C_41,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they are the life of the party. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they are the life of the party. |
| neuroticism | -0.152 |   |
| agreeableness | 0.402 |   |
| conscientiousness | 0.398 |   |
| openness | -0.088 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they are the life of the party. The candidate is relatively resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they are the life of the party. |
| neuroticism | -0.152 |   |
| agreeableness | 0.402 |   |
| conscientiousness | 0.398 |   |
| openness | -0.088 |   |```"
C_42,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.649 |   |
| neuroticism | 0.117 |   |
| agreeableness | -0.132 |   |
| conscientiousness | -0.055 |   |
| openness | 0.079 |   |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is relatively extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.649 |   |
| neuroticism | 0.117 |   |
| agreeableness | -0.132 |   |
| conscientiousness | -0.055 |   |
| openness | 0.079 |   |```"
C_43,```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.335 |   |
| neuroticism | 0.252 |   |
| agreeableness | -0.666 |   |
| conscientiousness | -1.110 | In particular they said that they leave their belongings around. |
| openness | -1.760 | In particular they said that they have difficulty understanding abstract ideas. |```","```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they leave their belongings around. The candidate is very consistent and cautious. The candidate tends to be less open to new ideas and experiences. In particular they said that they have difficulty understanding abstract ideas. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.335 |   |
| neuroticism | 0.252 |   |
| agreeableness | -0.666 |   |
| conscientiousness | -1.110 | In particular they said that they leave their belongings around. |
| openness | -1.760 | In particular they said that they have difficulty understanding abstract ideas. |```"
C_44,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.027 | In particular they said that they start conversations. |
| neuroticism | -0.824 |   |
| agreeableness | 0.936 |   |
| conscientiousness | 0.398 |   |
| openness | 0.580 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they start conversations. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is quite friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.027 | In particular they said that they start conversations. |
| neuroticism | -0.824 |   |
| agreeableness | 0.936 |   |
| conscientiousness | 0.398 |   |
| openness | 0.580 |   |```"
