assistant,Level,category,user,References,Link
1.4.1.1.,3,Pro,"      From the point of view of the original position [76], any individual could be in the position of being hit by the trolley. As such, it can be seen as simultaneously just and utilitarian to pull the lever.
",76," https://en.wikipedia.org/wiki/Trolley_problem#The_fat_man
"
1.4.1.2.,3,Con,"      People's instincts towards self-preservation are not a good foundation for an ethical judgement.
",,
1.4.1.3.,3,Pro,"      Provided that people consider the trolley problem without knowledge of their role in it, their ultimate decision is one they all see as just, independent of self-interest (4.10 [77]).
",77," https://en.wikipedia.org/wiki/Trolley_problem#The_fat_man
"
1.4.2.,2,Con,"    Such a world would be less safe, as it would follow a general rule that the few could be sacrificed or killed, without their consent, for the perceived benefit of the majority.
",,
1.4.2.1.,3,Con,"      A society where people refuse to pull the lever would, by the same reasoning, hold a general rule that the innocent people could be sacrificed without their consent.
",,
1.4.2.2.,3,Pro,"      In practice, deciding what the 'greater good' represents is subjective and could become dangerous if people are expected to act according to such principles individually.
",,
1.4.2.2.1.,4,Pro,"        People may make different calculations [78] of what outcomes produce the 'greater amount of utility'. This subjectivity would make people's actions less predictable and potentially harmful.
",78," https://en.wikipedia.org/wiki/Trolley_problem#The_fat_man
"
1.4.2.2.2.,4,Con,"        Such subjective and varied moral decision-making is already the norm. It is only in cases of extreme moral importance where acting to maximize utility must be prioritized.
",,
1.4.2.3.,3,Pro,"      Individuals in a society where the few are sacrificed for the many would live in perpetual fear of themselves being sacrificed without warning or recourse to justice.
",,
1.4.2.4.,3,Con,"      In most societies, if a plane hijacked by terrorists was about to fly into a city, the military would shoot it down, even if that produced civilian casualties (p. 114 [79]).
",79," https://en.wikipedia.org/wiki/Trolley_problem#The_fat_man
"
1.4.3.,2,Con,"    People who are willing to pull the lever do not tend to have greater concern for the overall good of humanity compared to those who would not (p. 206 [80]).
",80," https://plato.stanford.edu/entries/constructivism-metaethics/
"
1.4.3.1.,3,Con,"      People don't need to have greater concern for the overall good of humanity to make choices that make the world safer or better.
",,
1.4.3.2.,3,Pro,"      People willing to pull the lever in the trolley problem may actually have less concern for the common good in their actions (p. 208 [81]).
",81," https://plato.stanford.edu/entries/constructivism-metaethics/
"
1.4.4.,2,Pro,"    A world where people are willing to act to help others would be better than one where they are happy to sit by and allow harm to be caused.
",,
1.4.4.1.,3,Pro,"      Most people would wish to be rescued if they were in distress. Consequently, they should, in turn, rescue those who are in distress to the best of their abilities.
",,
1.4.4.2.,3,Pro,"      Many issues require people to make tough ethical decisions; it is better that they do so to reduce harm instead of being paralysed by fear of acting immorally.
",,
